Ratio of the number of blocks generated by each node in the Longest Chain of the tree to the total number of blocks it generates	No blocks generated
Fast Node
Low CPU Node
Block ID	Block arrival time	No. of transactions	Peer Balance
c08b5261c03bb7ae4f82833e63ce333fcd11e3acd1486afa488c18947354d0f7	335.2241728157751	163	{0: 13, 1: 1, 2: 5, 3: 1096, 4: 0, 5: 8, 6: 2, 7: 4, 8: 0, 9: 1, 10: 2, 11: 64, 12: 26, 13: 31, 14: 81, 15: 12, 16: 583, 17: 28, 18: 15, 19: 13}
f9b85f57b3741dfb45166a4aff711aff1a1266a3c55d6032692c91994d2eba44	389.3005771185631	777	{0: 31, 1: 0, 2: 22, 3: 1074, 4: 47, 5: 27, 6: 27, 7: 94, 8: 9, 9: 16, 10: 11, 11: 39, 12: 76, 13: 48, 14: 54, 15: 5, 16: 265, 17: 23, 18: 21, 19: 146}
7d63c1266ce46fe42a49f8142c5e44518ba5950bf44252ed6c7d73b00fed01a0	398.811927093052	253	{0: 7, 1: 2, 2: 15, 3: 1316, 4: 60, 5: 3, 6: 1, 7: 7, 8: 16, 9: 9, 10: 26, 11: 18, 12: 26, 13: 8, 14: 15, 15: 24, 16: 441, 17: 40, 18: 50, 19: 1}
72a27d590f4d86359af6ce09ea3483e88a08940768be384a77463b6d189fd4db	425.0182020622033	334	{0: 25, 1: 35, 2: 23, 3: 1228, 4: 38, 5: 1, 6: 29, 7: 12, 8: 24, 9: 28, 10: 80, 11: 26, 12: 0, 13: 9, 14: 2, 15: 26, 16: 519, 17: 2, 18: 27, 19: 1}
589f1b7030252eae2cb280284bbbb27295557029989ca6f7bb9ce637e878c7f2	445.27553556522594	305	{0: 42, 1: 10, 2: 74, 3: 1129, 4: 12, 5: 2, 6: 7, 7: 31, 8: 31, 9: 9, 10: 44, 11: 11, 12: 12, 13: 35, 14: 68, 15: 6, 16: 592, 17: 8, 18: 54, 19: 8}
26d0faa0ae36f67e2dff718c16f741bff2967f33bebaed5053f09067e11530fc	447.0880930442885	189	{0: 33, 1: 15, 2: 1, 3: 1315, 4: 2, 5: 54, 6: 2, 7: 4, 8: 15, 9: 15, 10: 11, 11: 2, 12: 1, 13: 0, 14: 2, 15: 9, 16: 741, 17: 2, 18: 3, 19: 8}
ac9c399823e2a051aedf97b4ba479b00a91088c43586c936c8f36056be264f24	452.896730147275	74	{0: 18, 1: 5, 2: 1, 3: 1317, 4: 0, 5: 9, 6: 25, 7: 8, 8: 2, 9: 3, 10: 6, 11: 8, 12: 64, 13: 10, 14: 15, 15: 7, 16: 774, 17: 3, 18: 5, 19: 5}
8d982ab2a73475c6aac8983a4fdaa5ca12076e67c407b4c2cc6bf1a49098de6c	460.19686351005146	89	{0: 0, 1: 4, 2: 9, 3: 1338, 4: 9, 5: 3, 6: 14, 7: 35, 8: 2, 9: 0, 10: 0, 11: 5, 12: 50, 13: 1, 14: 3, 15: 0, 16: 819, 17: 14, 18: 23, 19: 6}
cecacab5a32f26ddd5a1adf1b68578c88ef3d81f6001a130c051b618125be957	480.98642921246835	255	{0: 26, 1: 20, 2: 81, 3: 1203, 4: 22, 5: 0, 6: 43, 7: 31, 8: 2, 9: 5, 10: 39, 11: 7, 12: 16, 13: 20, 14: 5, 15: 67, 16: 757, 17: 15, 18: 7, 19: 19}
fb1108cf7c42029b1940ab69fb9e71732f49fb9fdb8be4f8d2f691b292270eb8	482.32673548889954	170	{0: 1, 1: 5, 2: 43, 3: 1292, 4: 5, 5: 4, 6: 2, 7: 4, 8: 0, 9: 8, 10: 3, 11: 55, 12: 14, 13: 13, 14: 0, 15: 3, 16: 959, 17: 3, 18: 19, 19: 2}
1b4745a0dec77990dee2ffe399da0eb8773d8663808d2b3b64669b3fd413c333	486.7652909481304	74	{0: 15, 1: 17, 2: 2, 3: 1278, 4: 11, 5: 14, 6: 18, 7: 5, 8: 19, 9: 13, 10: 11, 11: 6, 12: 23, 13: 10, 14: 58, 15: 27, 16: 921, 17: 6, 18: 29, 19: 2}
62518c482ccd69e4805185d9d249ec286492074e65db8643679b2f508ac4bd68	498.5913434021974	200	{0: 3, 1: 80, 2: 4, 3: 1151, 4: 6, 5: 6, 6: 41, 7: 67, 8: 10, 9: 0, 10: 6, 11: 17, 12: 12, 13: 7, 14: 33, 15: 60, 16: 1006, 17: 10, 18: 3, 19: 13}
6889613b52ebdcb997b211d962fc283c3adf589e4d75d9cca6c5ff5d8af83c84	513.2218639300828	219	{0: 9, 1: 1, 2: 36, 3: 1119, 4: 39, 5: 33, 6: 0, 7: 71, 8: 57, 9: 16, 10: 2, 11: 3, 12: 74, 13: 10, 14: 13, 15: 3, 16: 978, 17: 95, 18: 3, 19: 23}
2f4dbb24bc30a05f646ff38e27f8203948f3a930b7668e6ffa1ec8ee0afcd8c9	520.4503704329098	139	{0: 11, 1: 17, 2: 13, 3: 1083, 4: 23, 5: 21, 6: 20, 7: 165, 8: 21, 9: 1, 10: 4, 11: 5, 12: 53, 13: 70, 14: 9, 15: 20, 16: 1050, 17: 36, 18: 3, 19: 10}
7f398ab117026b9f848abbd69067d60522c175a7cdadc665873bd0fee8a2860e	530.7118236969478	162	{0: 33, 1: 60, 2: 19, 3: 1042, 4: 5, 5: 16, 6: 0, 7: 226, 8: 7, 9: 11, 10: 22, 11: 1, 12: 14, 13: 22, 14: 35, 15: 59, 16: 1080, 17: 16, 18: 11, 19: 6}
a0cec5643cc960031474f17e4754cf6e8d14983dec0a3163ce33e6cb5af191f0	579.3702592526386	624	{0: 90, 1: 18, 2: 39, 3: 1039, 4: 78, 5: 5, 6: 11, 7: 158, 8: 50, 9: 14, 10: 76, 11: 59, 12: 2, 13: 4, 14: 16, 15: 1, 16: 1021, 17: 0, 18: 10, 19: 44}
414fb051bd803039da8395cd2efc469a1483772d64b51a5f16b5f896e4fb2147	583.4402454961653	141	{0: 3, 1: 11, 2: 51, 3: 1258, 4: 3, 5: 0, 6: 19, 7: 254, 8: 3, 9: 0, 10: 17, 11: 1, 12: 0, 13: 0, 14: 3, 15: 2, 16: 1137, 17: 0, 18: 8, 19: 15}
861a4b2d6371fd1b651db7db8ad650c5c878e2343846bd93ac3ee17c9e136782	585.5960493286439	55	{0: 4, 1: 5, 2: 11, 3: 1337, 4: 3, 5: 2, 6: 1, 7: 231, 8: 2, 9: 0, 10: 17, 11: 1, 12: 0, 13: 9, 14: 0, 15: 8, 16: 1200, 17: 0, 18: 1, 19: 3}
78b6e32f3225ca976e498f715c04b1a131d8d44996804c12c05bd0b9d22f5ade	609.8002979246799	261	{0: 19, 1: 34, 2: 21, 3: 1281, 4: 3, 5: 16, 6: 10, 7: 176, 8: 10, 9: 27, 10: 0, 11: 5, 12: 0, 13: 34, 14: 55, 15: 7, 16: 1169, 17: 0, 18: 5, 19: 13}
f63430a4fb415139056da079aee89ab063b139f857df2a6f1c5f2d07766e201f	622.884022586378	177	{0: 17, 1: 18, 2: 8, 3: 1309, 4: 7, 5: 8, 6: 2, 7: 197, 8: 43, 9: 5, 10: 6, 11: 2, 12: 0, 13: 7, 14: 11, 15: 0, 16: 1221, 17: 6, 18: 8, 19: 60}
90364d16683b15f380dee1f075335af285a42e408a0fab5b1e411ae1c099c2c9	679.3612853330926	716	{0: 0, 1: 58, 2: 16, 3: 1072, 4: 45, 5: 13, 6: 36, 7: 21, 8: 66, 9: 29, 10: 127, 11: 9, 12: 69, 13: 23, 14: 3, 15: 90, 16: 1205, 17: 52, 18: 27, 19: 24}
